지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),연,월이름,월,계절,계절_index
서울,1946-08-01,25.7,31,82,260.4,2.1,1946,8월,8,여름,2
서울,1946-09-01,19.9,26.4,76,128.6,1.9,1946,9월,9,가을,3
서울,1946-10-01,13.8,20.5,76,92.2,1.7,1946,10월,10,가을,3
서울,1946-11-01,8.8,14.9,74,1.5,2.3,1946,11월,11,가을,3
서울,1946-12-01,-4.3,-0.2,69,17,2.1,1946,12월,12,겨울,4
서울,1947-01-01,-3.9,0.2,69,25.2,2.1,1947,1월,1,겨울,4
서울,1947-02-01,-5.3,-0.5,67,4.4,2.4,1947,2월,2,겨울,4
서울,1947-03-01,1.5,6.3,66,56.5,3.2,1947,3월,3,봄,1
서울,1947-04-01,10.5,16.6,62,80.2,3.1,1947,4월,4,봄,1
서울,1947-05-01,15.9,22.8,65,44,2.6,1947,5월,5,봄,1
서울,1947-06-01,18.7,24.4,77,118.6,2.4,1947,6월,6,여름,2
서울,1947-07-01,22.9,27,87,610.1,2.7,1947,7월,7,여름,2
서울,1947-08-01,25.1,30,85,320.5,2.2,1947,8월,8,여름,2
서울,1947-09-01,19.6,25.2,76,121.9,2,1947,9월,9,가을,3
서울,1947-10-01,11.8,18.3,64,10.6,2.2,1947,10월,10,가을,3
서울,1947-11-01,3.5,8.7,62,30.3,2.3,1947,11월,11,가을,3
서울,1947-12-01,-5.4,-1.5,59,74.1,2.7,1947,12월,12,겨울,4
서울,1948-01-01,-4.5,0.1,68,82.9,2.1,1948,1월,1,겨울,4
서울,1948-02-01,-1.4,3.5,72,12.3,1.7,1948,2월,2,겨울,4
서울,1948-03-01,4.7,9.9,63,51.7,2.8,1948,3월,3,봄,1
서울,1948-04-01,12.5,19.3,63,36.2,2.6,1948,4월,4,봄,1
서울,1948-05-01,16,22.7,63,42.9,2.6,1948,5월,5,봄,1
서울,1948-06-01,20.9,26.6,75,353.7,2.4,1948,6월,6,여름,2
서울,1948-07-01,24.3,28.9,85,323.1,2.4,1948,7월,7,여름,2
서울,1948-08-01,25.8,31.4,81,309.2,1.5,1948,8월,8,여름,2
서울,1948-09-01,20.2,26.4,77,141.7,1.8,1948,9월,9,가을,3
서울,1948-10-01,13.3,20.2,64,54.4,1.9,1948,10월,10,가을,3
서울,1948-11-01,5.1,11.1,67,15.6,1.8,1948,11월,11,가을,3
서울,1948-12-01,3.8,7.7,79,49.6,2.3,1948,12월,12,겨울,4
서울,1949-01-01,-3,0.9,75,25.6,2.4,1949,1월,1,겨울,4
서울,1949-02-01,1.3,6.2,71,20.8,2.4,1949,2월,2,겨울,4
서울,1949-03-01,3.4,8.8,70,15.6,3.2,1949,3월,3,봄,1
서울,1949-04-01,9.9,16,70,37.9,2.7,1949,4월,4,봄,1
서울,1949-05-01,16.4,22.5,71,87.6,2.7,1949,5월,5,봄,1
서울,1949-06-01,20.5,26.8,64,29.3,2.7,1949,6월,6,여름,2
서울,1949-07-01,24.8,30.4,73,141.6,2.2,1949,7월,7,여름,2
서울,1949-08-01,26.1,32.3,74,96,2.2,1949,8월,8,여름,2
서울,1949-09-01,20.8,26.5,72,102.7,1.9,1949,9월,9,가을,3
서울,1949-10-01,13.9,20.2,63,41.7,1.9,1949,10월,10,가을,3
서울,1949-11-01,7,12.6,64,14.3,2,1949,11월,11,가을,3
서울,1949-12-01,-1.3,3.4,62,10.4,1.9,1949,12월,12,겨울,4
서울,1954-01-01,-1.5,2.5,72,14,2.1,1954,1월,1,겨울,4
서울,1954-02-01,0.4,5.1,74,111.3,2.6,1954,2월,2,겨울,4
서울,1954-03-01,3.1,8.6,65,4.9,3,1954,3월,3,봄,1
서울,1954-04-01,11.8,18.4,60,59.4,3,1954,4월,4,봄,1
서울,1954-05-01,16.6,23.1,67,61.5,2.6,1954,5월,5,봄,1
서울,1954-06-01,19.6,24.6,75,229.9,2.8,1954,6월,6,여름,2
서울,1954-07-01,21.9,26.2,85,537.5,2.9,1954,7월,7,여름,2
서울,1954-08-01,25.7,30.3,83,209,2.3,1954,8월,8,여름,2
서울,1954-09-01,20.3,25.3,79,53.2,2.3,1954,9월,9,가을,3
서울,1954-10-01,12.5,18.4,70,45.1,2,1954,10월,10,가을,3
서울,1954-11-01,9.5,14.8,74,19.6,2,1954,11월,11,가을,3
서울,1954-12-01,-2.7,1.5,64,40.4,2.4,1954,12월,12,겨울,4
서울,1955-01-01,-5.6,-1,67,12.3,2.5,1955,1월,1,겨울,4
서울,1955-02-01,-0.1,5.2,63,9.6,2.7,1955,2월,2,겨울,4
서울,1955-03-01,4.4,9.5,64,15.7,2.8,1955,3월,3,봄,1
서울,1955-04-01,11.1,16.3,67,55,3.4,1955,4월,4,봄,1
서울,1955-05-01,15.9,22.4,69,80.7,2.6,1955,5월,5,봄,1
서울,1955-06-01,21.4,27.3,74,316.5,2.4,1955,6월,6,여름,2
